m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.001521    0.9990    0.0003
  0.001531    0.9990    0.0004
  0.001540    0.9990    0.0004
  0.001550    0.9990    0.0004
  0.001560    0.9990    0.0004
  0.001569    0.9990    0.0004
  0.001579    0.9990    0.0004
  0.001590    0.9990    0.0004
  0.001600    0.9990    0.0004
  0.001610    0.9989    0.0004
  0.001621    0.9989    0.0004
  0.001631    0.9989    0.0004
  0.001642    0.9989    0.0004
  0.001653    0.9989    0.0004
  0.001664    0.9989    0.0004
  0.001675    0.9989    0.0004
  0.001687    0.9989    0.0004
  0.001698    0.9989    0.0005
  0.001701    0.9989    0.0005
  0.001703    0.9989    0.0005
  0.001705    0.9988    0.0005
  0.001708    0.9988    0.0005
  0.001710    0.9988    0.0005
  0.001711    0.9988    0.0005
  0.001712    0.9988    0.0005
  0.001714    0.9988    0.0005
  0.001715    0.9988    0.0005
  0.001716    0.9988    0.0005
  0.001717    0.9988    0.0006
  0.001718    0.9988    0.0006
  0.001719    0.9988    0.0007
  0.001720    0.9988    0.0007
  0.001720    0.9989    0.0007
  0.001721    0.9989    0.0007
  0.001721    0.9990    0.0007
  0.001722    0.9990    0.0007
  0.001722    0.9990    0.0007
  0.001724    0.9990    0.0005
  0.001727    0.9990    0.0004
  0.001729    0.9989    0.0004
  0.001732    0.9989    0.0004
  0.001734    0.9988    0.0004
  0.001736    0.9988    0.0004
  0.001739    0.9987    0.0004
  0.001740    0.9987    0.0004
  0.001741    0.9987    0.0005
  0.001743    0.9986    0.0005
  0.001744    0.9986    0.0006
  0.001745    0.9986    0.0007
  0.001746    0.9986    0.0007
  0.001747    0.9985    0.0007
  0.001749    0.9985    0.0009
  0.001749    0.9985    0.0010
  0.001750    0.9986    0.0011
  0.001750    0.9987    0.0013
  0.001751    0.9988    0.0014
  0.001751    0.9989    0.0014
  0.001752    0.9991    0.0015
  0.001752    0.9993    0.0014
  0.001753    0.9994    0.0014
  0.001754    0.9996    0.0011
  0.001755    0.9997    0.0007
  0.001756    0.9996    0.0005
  0.001757    0.9994    0.0003
  0.001759    0.9993    0.0003
  0.001760    0.9992    0.0003
  0.001761    0.9992    0.0003
  0.001764    0.9991    0.0003
  0.001766    0.9991    0.0003
  0.001769    0.9990    0.0003
  0.001771    0.9990    0.0003
  0.001774    0.9990    0.0003
  0.001776    0.9990    0.0003
  0.001779    0.9989    0.0003
  0.001781    0.9989    0.0003
  0.001784    0.9989    0.0003
  0.001797    0.9989    0.0003
  0.001810    0.9988    0.0003
  0.001823    0.9988    0.0003
  0.001879    0.9987    0.0004
  0.001937    0.9986    0.0004
  0.002000    0.9985    0.0005
  0.002066    0.9984    0.0005
  0.002101    0.9983    0.0005
  0.002138    0.9983    0.0006
  0.002156    0.9982    0.0006
  0.002175    0.9982    0.0006
  0.002194    0.9981    0.0007
  0.002206    0.9981    0.0007
  0.002214    0.9981    0.0008
  0.002218    0.9981    0.0008
  0.002222    0.9981    0.0009
  0.002226    0.9982    0.0010
  0.002228    0.9982    0.0010
  0.002230    0.9982    0.0009
  0.002234    0.9983    0.0009
  0.002238    0.9983    0.0009
  0.002242    0.9983    0.0009
  0.002246    0.9984    0.0008
  0.002250    0.9983    0.0008
  0.002254    0.9982    0.0008
  0.002258    0.9982    0.0008
  0.002262    0.9981    0.0009
